Player,Age,Position,Current_Value_M,Market_Value_M,Apps,Goals,Assists,Potential_Gap,Potential_Pct,Goals_Per_App,Assists_Per_App
Vinicius Jr,24,LW,150,175,45,15,8,25,16.67,0.333,0.178
Rodrygo,23,RW,90,110,38,12,7,20,22.22,0.316,0.184
Bellingham,21,CM,120,140,28,8,3,20,16.67,0.286,0.107
Camavinga,22,CM,70,85,42,2,1,15,21.43,0.048,0.024
Valverde,26,CM,80,95,50,5,4,15,18.75,0.1,0.08
Modric,38,CM,15,18,180,65,20,3,20.0,0.361,0.111
Nacho,33,CB,8,10,95,2,1,2,25.0,0.021,0.011
Militao,26,CB,25,30,80,3,0,5,20.0,0.038,0.0
Mendy,29,LB,12,15,100,1,5,3,25.0,0.01,0.05
Benzema,35,ST,20,25,120,68,20,5,25.0,0.567,0.167
Kroos,34,CM,18,22,160,15,40,4,22.22,0.094,0.25
Alaba,32,CB,20,25,120,5,2,5,25.0,0.042,0.017
Rudiger,31,CB,22,28,85,8,1,6,27.27,0.094,0.012
Carvajal,31,RB,15,18,110,3,5,3,20.0,0.027,0.045
Brahim Diaz,25,RW,30,40,60,10,8,10,33.33,0.167,0.133
Tchouameni,24,CM,60,75,35,5,2,15,25.0,0.143,0.057
Endrick,18,LW,45,60,5,2,0,15,33.33,0.4,0.0
Arda Guler,20,RW,40,55,8,1,1,15,37.5,0.125,0.125
Vazquez,29,RB,12,15,70,2,2,3,25.0,0.029,0.029
Lopez,25,CB,10,12,50,1,1,2,20.0,0.02,0.02
Asensio,28,RW,35,45,100,12,8,10,28.57,0.12,0.08
Ceballos,26,CM,25,32,80,4,8,7,28.0,0.05,0.1
Garcia,27,LB,8,10,15,0,0,2,25.0,0.0,0.0
Lunin,25,GK,8,10,25,0,0,2,25.0,0.0,0.0
