Player,Age,Position,Current_Value_M,Potential_Gap,Potential_Pct,Talent_Score,Cluster
Arda Guler,20,RW,40,15,37.5,37.75,0
Endrick,18,LW,45,15,33.33,37.2,0
Brahim Diaz,25,RW,30,10,33.33,35.6,0
Tchouameni,24,CM,60,15,25.0,33.1,0
Rodrygo,23,RW,90,20,22.22,33.07,0
Camavinga,22,CM,70,15,21.43,32.17,0
Bellingham,21,CM,120,20,16.67,31.59,0
Vinicius Jr,24,LW,150,25,16.67,31.22,0
Valverde,26,CM,80,15,18.75,30.78,0
Ceballos,26,CM,25,7,28.0,23.5,1
Asensio,28,RW,35,10,28.57,23.37,1
Lunin,25,GK,8,2,25.0,22.5,1
Rudiger,31,CB,22,6,27.27,22.19,1
Garcia,27,LB,8,2,25.0,22.1,1
Benzema,35,ST,20,5,25.0,21.97,2
